game,publisher,min_rtp,max_rtp,default_rtp
Riches of Ra Slot,Play'n Go,94.01,94.01,
Ring the Bells,Games Inc,97.03,97.03,
Royal Masquerade (Play'n Go),Play'n Go,94.51,94.51,
Sails of Gold,Play'n Go,94.23,94.23,
Samba Carnival,Play'n Go,93.96,93.96,
Scandinavian Babes,Play'n Go,94.0,94.0,
Scandinavian Hunks,Others,94.0,94.0,
Space Race,Play'n Go,94.23,94.23,
Spin Party,Play'n Go,94.51,94.51,
Super Flip,Play'n Go,94.51,94.51,
Tower Quest,Play'n Go,94.24,94.24,
Troll Hunters,Play'n Go,94.74,94.74,
Tropical Holiday,Others,92.9,92.9,
Wild Blood,Play'n Go,96.17,96.17,
Wild North (Play’n Go),Play'n Go,94.57,94.57,
Wizard of Gems,Play'n Go,94.67,94.67,
Xmas Joker,Play'n Go,93.99,93.99,
Money Wheel (Play'n Go) Game ᐈ Game Info + Where to play,Play'n Go,92.31,92.31,
Football Gladiators,StakeLogic,96.1,96.1,
Aztec Princess,Play'n Go,94.17,94.17,
Hugo,Play'n Go,94.4,94.4,
Legend of the White Snake Lady,Yggdrasil,96.1,96.1,
Mr. Green's Old Jolly Grand Tour,NetEnt,97.0,97.0,
Beowulf (Quickspin),Quickspin,97.21,97.21,
Big Bad Wolf Slot Review & Best Casinos To Play in 2025,Quickspin,97.34,97.34,
Crystal Queen,Quickspin,96.16,96.16,
Firestorm,Quickspin,96.56,96.56,
Genies Touch,Quickspin,96.9,96.9,
Goldilocks,Quickspin,96.84,96.84,
Hidden Valley,Quickspin,95.69,95.69,
Illuminous,Quickspin,96.57,96.57,
Jewel Blast,Quickspin,96.57,96.57,
King Colossus,Quickspin,96.6,96.6,
Rapunzel's Tower,Quickspin,51.0,93.0,93.0
Razortooth,Quickspin,96.6,96.6,
Royal Frog,Quickspin,95.43,96.77,96.77
Second Strike,Quickspin,96.22,96.22,
Sevens High (Quickspin),Quickspin,96.54,96.54,
Sinbad (Quickspin),Quickspin,26.36,70.69,70.69
Sugar Trail,Quickspin,96.52,96.52,
Supernova (Quickspin),Quickspin,97.05,97.05,
The Epic Journey (Quickspin),Quickspin,96.6,96.6,
The Three Musketeers (Quickspin),Quickspin,96.63,96.63,
The Wild Chase,Quickspin,96.77,96.77,
Titan Thunder,Quickspin,96.48,96.48,
Treasure Island (Quickspin),Quickspin,97.07,97.07,
Spinions,Quickspin,96.05,96.05,
Vegas Party (NetEnt),NetEnt,96.6,96.6,
2 Million B.C.,Betsoft,91.94,91.94,
4 Seasons,Betsoft,95.3,95.3,
7th Heaven,Betsoft,96.92,96.92,
A Christmas Carol,Betsoft,94.58,94.58,
A Night in Paris JP,Betsoft,96.92,96.92,
After Night Falls,Betsoft,97.27,97.27,
Alkemors Tower,Betsoft,94.96,94.96,
Arrival,Betsoft,92.26,92.26,
At the Copa,Betsoft,97.42,97.42,
At the Movies,Betsoft,94.75,94.75,
Aztec Treasures (Betsoft),Betsoft,93.01,93.01,
Back In Time,Betsoft,97.0,97.0,
Barbary Coast,Betsoft,93.2,93.2,
Birds!,Betsoft,96.55,96.55,
Black Gold,Betsoft,94.31,94.31,
Boomanji,Betsoft,95.96,95.96,
Captain Cash,Betsoft,93.0,93.0,
Chase the Cheese,Betsoft,96.0,96.0,
Diamond Dreams,Betsoft,97.0,97.0,
Diamond Jackpot,Betsoft,96.0,96.0,
Enchanted (Betsoft),Betsoft,89.4,89.4,
Event Horizon,Betsoft,96.51,96.51,
Frog Hunter,Betsoft,,,
Fruit Zen,Betsoft,97.3,97.3,
Gemscapades,Betsoft,95.5,95.5,
Genie's Fortune,Betsoft,95.61,95.61,
Ghouls Gold,Betsoft,93.0,93.0,
Gladiator (Betsoft),Betsoft,92.67,92.67,
Gold Diggers,Betsoft,91.23,91.23,
Good Girl Bad Girl,Betsoft,95.59,95.59,
Greedy Goblins,Betsoft,97.2,97.2,
Gypsy Rose (Betsoft),Betsoft,97.63,97.63,
Heist (Betsoft),Betsoft,93.8,93.8,
Hell Raiser,Betsoft,93.9,93.9,
Hidden Loot,Betsoft,97.0,97.0,
House of Fun,Betsoft,94.96,94.96,
Invaders,Betsoft,93.5,93.5,
It Came From Venus,Betsoft,95.8,95.8,
Jackpot 2000,Betsoft,92.5,92.5,
Jackpot Gagnant,Betsoft,,,
Jackpot Jamba,Betsoft,92.5,92.5,
Dr. Jekyll & Mr. Hyde,Betsoft,96.17,96.17,
Lost,Betsoft,93.8,93.8,
Lucky 7 (Betsoft),Betsoft,97.0,97.0,
Mad Scientist (Betsoft),Betsoft,96.0,96.0,
Madder Scientist,Betsoft,95.18,95.18,
Magic Lines,Betsoft,92.0,92.0,
Mamma Mia (Betsoft),Betsoft,93.46,93.46,
Mega Gems,Betsoft,95.18,95.18,
Mega Glam Life,Betsoft,96.29,96.29,
Mega King,Betsoft,92.5,92.5,
Mermaid's Pearl (Betsoft),Betsoft,93.0,93.0,
Monkey Money (Betsoft),Betsoft,94.9,94.9,
More Gold Diggin,Betsoft,94.53,94.53,
Mr. Vegas,Betsoft,93.6,93.6,
Ned and His Friends,Betsoft,92.15,92.15,
Old Timer,Betsoft,,,
Once Upon a Time (Betsoft),Betsoft,95.28,95.28,
Out of This World (Betsoft),Betsoft,94.5,94.5,
Paco and the Popping Peppers,Betsoft,94.29,94.29,
Pharaoh King,Betsoft,92.5,92.5,
Pinocchio (Betsoft),Betsoft,96.53,96.53,
Plumbo,Betsoft,96.0,96.0,
Puppy Love (Betsoft),Betsoft,97.23,97.23,
Red White Blue 7s,Betsoft,97.2,97.2,
Reel Outlaws,Betsoft,95.2,95.2,
Revolution (Betsoft),Betsoft,95.0,95.0,
RockStar,Betsoft,93.84,93.84,
Rooks Revenge,Betsoft,94.53,94.53,
Royal Reels,Betsoft,92.93,92.93,
Safari Sam,Betsoft,97.5,97.5,
Slotfather,Betsoft,95.69,95.69,
Slots Angels,Betsoft,96.89,96.89,
SugarPop (Betsoft),Betsoft,97.6,97.6,
Super Joker (Betsoft),Betsoft,,,
Super Money Wheel,Betsoft,,,
Sushi Bar,Betsoft,94.75,97.48,97.48
The Bees,Betsoft,95.5,95.5,
The Curious Machine,Betsoft,95.5,95.5,
The Exterminator,Betsoft,96.27,96.27,
The Ghouls (Betsoft),Betsoft,94.8,94.8,
The Glam Life,Betsoft,92.02,92.02,
The Tipsy Tourist,Betsoft,97.1,97.1,
Three Wishes,Betsoft,95.61,95.61,
Treasure Room,Betsoft,94.0,94.0,
Triple Crown (Betsoft),Betsoft,94.5,94.5,
True Illusions,Betsoft,96.62,96.62,
True Sheriff,Betsoft,97.03,97.03,
Tycoons,Betsoft,95.34,95.34,
Under the Bed,Betsoft,96.4,96.4,
Under the Sea (Betsoft),Betsoft,96.4,96.4,
Vegas Joker (Betsoft),Betsoft,,,
Viking Age,Betsoft,94.2,94.2,
Weekend In Vegas,Betsoft,96.6,96.6,
Who Spun It?,Betsoft,97.64,97.64,
Wizard's Castle,Betsoft,96.0,96.0,
NRVNA,NetEnt,96.6,96.6,
Grim Muerto,Play'n Go,94.57,94.57,
Nordic Heroes,IGT,94.68,94.68,
Big Blox,Yggdrasil,96.2,96.2,
Double Dragons (Yggdrasil ),Yggdrasil,96.1,96.1,
Secrets of Atlantis,NetEnt,97.07,97.07,
Ortaköyün Yaramazi,Play'n Go,96.75,96.75,
Danish Flip,Play'n Go,96.53,96.53,
Charterrejsen,Others,94.17,94.17,
Charms and Clovers,Betsoft,96.31,96.31,
Medieval Money,IGT,93.45,93.45,
Reel Spinner,Games Global,96.0,96.0,
Motörhead,NetEnt,96.98,96.98,
Zoom,Thunderkick,96.2,96.2,
300 Shields,NextGen,95.299,95.299,
1429 Uncharted Seas,Thunderkick,98.5,98.5,
Arcader,Thunderkick,96.1,96.1,
Barber Shop,Thunderkick,97.0,97.0,
Børk The Berzerker,Thunderkick,97.3,97.3,
Esqueleto Explosivo,Thunderkick,96.0,96.0,
Flux,Thunderkick,96.2,96.2,
Fruit Warp,Thunderkick,97.0,97.0,
Magicious,Thunderkick,96.0,96.0,
Sunny Scoops,Thunderkick,96.0,96.0,
The Rift,Thunderkick,96.3,96.3,
