game,publisher,min_rtp,max_rtp,default_rtp
Sinbad's Golden Voyage,Playtech,97.01,97.01,
Xing Guardian,NextGen,97.01,97.01,
Stellar Jackpots with Serengeti Lions,Lightning Box,97.01,97.01,
Samurai Sushi,GamePlay,97.01,97.01,
Vampire Killer HD,Play Labs,97.01,97.01,
Insect World HD,Play Labs,97.01,97.01,
Mexican Cook HD,Play Labs,97.01,97.01,
5-Reel Drive,Microgaming,97.0,97.0,
7 Oceans,Microgaming,97.0,97.0,
9k Yeti,Yggdrasil Gaming,97.0,97.0,
All Lucky Clovers,BGaming,97.0,97.0,
Amazon Lady,Skywind Group,97.0,97.0,
Amun's Book,Zeus Play,97.0,97.0,
Barber Shop,Thunderkick,97.0,97.0,
Barber Shop Uncut,Thunderkick,97.0,97.0,
Baron Samedi,Yggdrasil Gaming,97.0,97.0,
Bells and Whistles,Galewind Software,97.0,97.0,
Butterfly Hot 10,Zeus Play,97.0,97.0,
Coins of Egypt,Net Entertainment,97.0,97.0,
Colt P.I.,PlayPearls,97.0,97.0,
Columbus Deluxe,Novomatic,97.0,97.0,
Dr Lovemore,Playtech,97.0,97.0,
Epic Joker,Relax Gaming,97.0,97.0,
Faming Fruit,Tom Horn Gaming,97.0,97.0,
Fortunes of Sparta,Blueprint Gaming,97.0,97.0,
Frogs 'n Flies,Amaya Gaming,97.0,97.0,
Fruit Warp,Thunderkick,97.0,97.0,
Hit the Route,BGaming,97.0,97.0,
Iron Sky The Coming Race,PlayPearls,97.0,97.0,
Jack Hammer,Net Entertainment,97.0,97.0,
Joker's Luck Deluxe,Skywind Group,97.0,97.0,
King of Slots,Net Entertainment,97.0,97.0,
Lady of the Forest,Zeus Play,97.0,97.0,
Long Pao,Net Entertainment,97.0,97.0,
Lost Temple,Amaya Gaming,97.0,97.0,
Lucky Lady Moon,BGaming,97.0,97.0,
Magic Charm,Zeus Play,97.0,97.0,
Magic of Oz,Skywind Group,97.0,97.0,
Magical Grove,Amaya Gaming,97.0,97.0,
Mexican Cook,World Match,97.0,97.0,
Monkey 27,Tom Horn Gaming,97.0,97.0,
Monopoly Electric Wins,WMS Gaming,97.0,97.0,
Motorhead,Net Entertainment,97.0,97.0,
Muse,Net Entertainment,97.0,97.0,
Nian Nian You Yu,Playtech,97.0,97.0,
Page of Fortune Deluxe,Zeus Play,97.0,97.0,
Pollen Party,Microgaming,97.0,97.0,
Queen of Wands,Playtech,97.0,97.0,
Reel Thunder,Microgaming,97.0,97.0,
Royal Jewels,Zeus Play,97.0,97.0,
Scoop the Cash,Microgaming,97.0,97.0,
Serengeti Diamonds,Amaya Gaming,97.0,97.0,
Silver Spurs,Galewind Software,97.0,97.0,
Sinbad's Golden Voyage,Ash Gaming,97.0,97.0,
Skazka,Playtech,97.0,97.0,
Space Hunters,PlayPearls,97.0,97.0,
Steam Tower,Net Entertainment,97.0,97.0,
Sun Quest,Microgaming,97.0,97.0,
SunTide,Microgaming,97.0,97.0,
The Great Casini,Amaya Gaming,97.0,97.0,
The True Sheriff,Betsoft,97.0,97.0,
Treasure Palace,Microgaming,97.0,97.0,
Triple Joker,Tom Horn Gaming,97.0,97.0,
Triple Monkey,Skywind Group,97.0,97.0,
Vampire Killer,World Match,97.0,97.0,
When Pigs Fly,Net Entertainment,97.0,97.0,
Wild Chapo,Relax Gaming,97.0,97.0,
Wild Swarm,Push Gaming,97.0,97.0,
Wilhelm Tell,Yggdrasil Gaming,97.0,97.0,
Zhao Cai Tong Zi,Playtech,97.0,97.0,
Dark Vortex,Yggdrasil Gaming,96.5,97.0,
Frozen Diamonds,Rabcat,97.0,97.0,
Hotline,Net Entertainment,96.1,97.0,
Wall St Fever,Playtech,96.0,97.0,
Classic 243,Rabcat,97.0,97.0,
Age of the Gods,Playtech,95.0,97.0,
Atlantis Queen,Playtech,95.0,97.0,
The Pirates Tavern,World Match,94.7,97.0,
Viking Legend,World Match,94.7,97.0,
Mystery Joker 6000,Play'n Go,94.2,97.0,
Robin Hood Prince of Tweets,NextGen Gaming,93.4,97.0,
RTG 777,Realtime Gaming,91.0,97.0,
Lucky 88,Aristocrat,97.0,97.0,
Muse: Wild Inspiration,NetEnt,97.0,97.0,
Cricket Star,Games Global,97.0,97.0,
When Pigs Fly,NetEnt,97.0,97.0,
Mr. Green's Old Jolly Grand Tour,NetEnt,97.0,97.0,
Back In Time,Betsoft,97.0,97.0,
Diamond Dreams,Betsoft,97.0,97.0,
Hidden Loot,Betsoft,97.0,97.0,
Lucky 7,Betsoft,97.0,97.0,
Path of the Wizard,Games Global,97.0,97.0,
Deep Sea Diver,Genesis,97.0,97.0,
Skulls of Legend,iSoftBet,96.0,97.0,96.0
Platoon Wild,iSoftBet,96.0,97.0,96.0
Feathered Frenzy Slot,Big Time Gaming,97.0,97.0,
Cherry Blossoms,NextGen,96.0,97.0,96.0
Wild Gambler,Playtech,97.0,97.0,
Diamond Tower,Lightning Box,97.0,97.0,
Frogs 'n Flies,Lightning Box,97.0,97.0,
Lost Temple,Lightning Box,97.0,97.0,
Serengeti Diamonds,Lightning Box,97.0,97.0,
The Dark Knight,Games Global,97.0,97.0,
Mega Money Rush,Skillzzgaming,97.0,97.0,
Taxi!,Amaya,97.0,97.0,
Hunt for Gold,Others,97.0,97.0,
Mr Toad,Play'n Go,97.0,97.0,
221b Baker Street HD,Merkur,97.0,97.0,
Thundering Zeus,Amaya,97.0,97.0,
Joker 10000,Betdigital,92.0,97.0,96.5
Dungeons and Dragons: Treasures of Icewind Dale,IGT,97.0,97.0,
7 Oceans,Games Global,97.0,97.0,
Viking's Glory,Spinomenal,97.0,97.0,
Zombie slot mania,Spinomenal,97.0,97.0,
Gods Of Slots,Spinomenal,97.0,97.0,
Bugs´n Bees,Novomatic,96.99,96.99,
Win And Replay,Wazdan,96.99,96.99,
Bohemia Joker,Casimi,96.98,96.98,
Motörhead,NetEnt,96.98,96.98,
Zeus,Spadegaming,96.98,96.98,
Bon Bon Bonanza,OpenBet,96.98,96.98,
Megadeth,Leander Games,96.97,96.97,
Roller Coaster Dice,Playtech,96.97,96.97,
Robin Hood - The Prince of Tweets,NextGen,93.383,96.965,96.965
Jin Qian Wa,Playtech,96.96,96.96,
Queen of Wands,Skywind Group,96.96,96.96,
Jack Hammer,NetEnt,96.96,96.96,
King of Slots,NetEnt,96.96,96.96,
Reel Rush,NetEnt,96.96,96.96,
Platoon,iSoftBet,96.96,96.96,
Charmorama,Relax Gaming,96.96,96.96,
Irish Charms,Pragmatic Play,96.96,96.96,
Golden Mane,NextGen,96.96,96.96,
Fruitz,Foxium,96.96,96.96,
Disco Fruits,Cayetano Gaming,96.96,96.96,
Adventures In Wonderland,Playtech,96.95,96.95,
Reel Thunder,Games Global,96.95,96.95,
Treasure Palace,Games Global,96.95,96.95,
Castle Blood,GameArt,96.95,96.95,
Carnaval,Games Global,96.94,96.94,
What a Hoot,Games Global,96.94,96.94,
Big Top,Games Global,96.94,96.94,
Crazy 80s,Games Global,96.94,96.94,
Blood Suckers 2,NetEnt,96.94,96.94,
Action Money,Amusnet,96.94,96.94,
7th Heaven,Betsoft,96.92,96.92,
A Night in Paris JP,Betsoft,96.92,96.92,
Go Bananas,NetEnt,96.91,96.91,
Samurai Princess,Lightning Box,96.91,96.91,
Alibaba,Leander Games,96.9,96.9,
Aztec Slots,GamesOS,96.9,96.9,
Big Top,Microgaming,96.9,96.9,
Bloodsuckers II,Net Entertainment,96.9,96.9,
Carnaval,Microgaming,96.9,96.9,
Chilli Gold,Amaya Gaming,96.9,96.9,
Chinese Kitchen,Playtech,96.9,96.9,
Cinerama,Playtech,96.9,96.9,
Cosmic Fortune,Net Entertainment,96.9,96.9,
Crazy 80s,Microgaming,96.9,96.9,
Dazzle Me,Net Entertainment,96.9,96.9,
Dragons' Awakening,Relax Gaming,96.9,96.9,
East Wind Battle,Skywind Group,96.9,96.9,
Erik the Red,Relax Gaming,96.9,96.9,
Fei Cui Gong Zhu,Playtech,96.9,96.9,
Fortune Rangers,Net Entertainment,96.9,96.9,
Genie's Touch,Quickspin,96.9,96.9,
Gold Trophy 2,Play'n Go,96.9,96.9,
Hearts and Dragons,Skywind Group,96.9,96.9,
Immortal Romance,Microgaming,96.9,96.9,
Imperial Riches,Net Entertainment,96.9,96.9,
Jimi Hendrix,Net Entertainment,96.9,96.9,
King of Three Kingdoms,Net Entertainment,96.9,96.9,
